Village,Copper - Sufficient,Copper - Deficient,Boron - Sufficient,Boron - Deficient,S - Sufficient,S - Deficient,Fe - Sufficient,Fe - Deficient,Zn - Sufficient,Zn - Deficient,Mn - Sufficient,Mn - Deficient
Unai,109,2,26,85,104,7,66,45,101,10,35,76
Vallandaraman,2,2,1,3,4,0,0,4,0,4,1,3
Vaniyambadi,4,1,1,4,4,1,0,5,4,1,0,5
Karadikudi,91,14,1,105,87,19,1,105,49,57,27,79
Kilkothur,13,100,16,97,73,40,57,56,66,47,0,113
Vettuvanam,1,2,0,3,2,1,0,3,1,2,0,3
Veppankuppam,7,0,2,5,5,2,0,7,4,3,0,7
Guruvarajapalayam,5,0,0,5,5,0,0,5,1,4,1,4
Agraharam,1,1,0,2,1,1,0,2,0,2,0,2
Ongapadi,4,0,0,4,2,2,0,4,0,4,0,4
Kilkrishnapuram,114,11,7,118,60,65,3,122,58,67,1,124
Seduvalai,95,12,21,86,92,15,18,89,21,86,6,101
Brahmanamangalam,100,7,34,73,104,3,0,107,62,45,2,105
Karunkali,6,1,1,6,6,1,0,7,3,4,2,5
Thollapalli,4,0,0,4,4,0,0,4,0,4,0,4
Virinchipuram,1,1,0,2,1,1,0,2,0,2,0,2
Agaram,6,0,0,6,4,2,2,4,3,3,0,6
Tippasamudram,6,0,0,6,5,1,1,5,2,4,0,6
Keelachur,3,0,0,3,1,2,0,3,0,3,0,3
Poigai,3,0,0,3,0,3,0,3,0,3,0,3
Melarasampattu,91,29,5,115,24,96,12,108,54,66,6,114
Peenjamandai,5,1,0,6,4,2,0,6,1,5,0,6
Sathiyamangalam,2,0,0,2,1,1,0,2,0,2,0,2
Erayangadu,2,0,0,2,1,1,0,2,0,2,0,2
Okkanapuram,3,0,0,3,3,0,0,3,1,2,0,3
Kandaneri,107,1,44,64,86,22,12,96,63,45,2,106
Alleri,3,0,0,3,2,1,0,3,1,2,0,3
Athikuppam,3,0,0,3,2,1,0,3,1,2,0,3
Pelampattu,2,0,0,2,1,1,0,2,0,2,0,2
Vasanthanadai,2,1,0,3,2,1,0,3,0,3,0,3
Jarthankollai,2,1,0,3,3,0,0,3,0,3,0,3
Kalanipakkam,3,0,0,3,0,3,0,3,0,3,0,3
Gengasanikuppam,3,0,0,3,2,1,1,2,1,2,0,3
Odugathur,1,0,0,1,1,0,0,1,1,0,0,1
Periyapanaparai,2,0,0,2,0,2,0,2,0,2,0,2
Nemandapuram,3,0,0,3,1,2,0,3,2,1,0,3
Vannanthangal,4,0,0,4,1,3,0,4,1,3,0,4
Pudukuppam,3,0,0,3,1,2,0,3,0,3,0,3
Madayapattu,9,101,33,77,39,71,77,33,66,44,0,110
Umayampattu,13,0,1,12,9,4,5,8,4,9,0,13
Katharikuppam - ,4,0,0,4,2,2,1,3,1,3,0,4
Mulluvadi - ,5,0,0,5,3,2,0,5,1,4,0,5
Kallaparai,7,1,3,5,7,1,1,7,2,6,0,8
Palapadi,10,0,4,6,9,1,2,8,4,6,0,10
Ramanayanikuppam,4,1,0,5,4,1,0,5,2,3,0,5
Asanampattu,10,3,2,11,13,0,0,13,4,9,1,12
Pakkampalayam,6,3,1,8,8,1,0,9,3,6,0,9
Arjathi,9,2,3,8,9,2,0,11,4,7,0,11
Arimalai,6,3,1,8,7,2,4,5,3,6,1,8
Kuppampalayam,8,1,2,7,8,1,2,7,7,2,0,9
Melpallipattu,8,2,3,7,8,2,1,9,7,3,0,10
Pakkam -,2,1,0,3,3,0,0,3,0,3,0,3
Thenpudipattu,4,1,1,4,5,0,1,4,3,2,0,5
Kuppambattu,5,0,3,2,5,0,0,5,1,4,0,5
Chinna Palli Kuppam,5,0,1,4,5,0,2,3,2,3,0,5
Perilovanpatti,150,0,1,149,120,30,0,150,6,144,150,0
Ariyanayakipuram,144,0,1,143,105,39,0,144,101,43,144,0
